"speaker","word","target_child_age_months","speech_act","corpus_id","target_child_id","count","total","rel_freq","ppt"
"child","and",25,"declarative",187,15001,13,2202,0.00590372388737511,5.90372388737511
"child","and",25,"declarative",187,15008,19,2244,0.00846702317290553,8.46702317290553
"child","and",25,"declarative",187,15014,9,1982,0.00454086781029263,4.54086781029263
"child","and",25,"declarative",187,15021,28,1804,0.0155210643015521,15.5210643015521
"child","and",25,"declarative",187,15027,24,2913,0.0082389289392379,8.2389289392379
"child","and",25,"declarative",187,15033,8,3299,0.00242497726583813,2.42497726583813
"child","and",25,"declarative",189,15058,44,6417,0.00685678666043322,6.85678666043322
"child","and",25,"declarative",189,15091,86,14790,0.00581473968897904,5.81473968897904
"child","and",25,"declarative",190,15110,12,2899,0.00413935839944809,4.13935839944809
"child","and",25,"declarative",192,15193,1,566,0.00176678445229682,1.76678445229682
"child","and",25,"imperative",39,3136,2,58,0.0344827586206897,34.4827586206897
"child","and",25,"imperative",189,15091,10,1054,0.0094876660341556,9.4876660341556
"child","and",25,"other",38,3088,5,117,0.0427350427350427,42.7350427350427
"child","and",25,"other",39,3136,3,46,0.0652173913043478,65.2173913043478
"child","and",25,"other",51,3789,5,303,0.0165016501650165,16.5016501650165
"child","and",25,"other",51,3801,8,122,0.0655737704918033,65.5737704918033
"child","and",25,"other",69,5054,2,83,0.0240963855421687,24.0963855421687
"child","and",25,"other",71,5080,7,55,0.127272727272727,127.272727272727
"child","and",25,"other",182,14375,8,1120,0.00714285714285714,7.14285714285714
"child","and",25,"other",187,15014,2,2,1,1000
"child","and",25,"other",187,15021,1,3,0.333333333333333,333.333333333333
"child","and",25,"other",187,15033,3,23,0.130434782608696,130.434782608696
"child","and",25,"other",189,15058,6,170,0.0352941176470588,35.2941176470588
"child","and",25,"other",189,15091,5,231,0.0216450216450216,21.6450216450216
"child","and",25,"other",190,15110,2,28,0.0714285714285714,71.4285714285714
"child","and",25,"question",33,2727,1,431,0.00232018561484919,2.32018561484919
"child","and",25,"question",38,3088,13,657,0.0197869101978691,19.7869101978691
"child","and",25,"question",39,3136,1,42,0.0238095238095238,23.8095238095238
"child","and",25,"question",46,3291,3,460,0.00652173913043478,6.52173913043478
"child","and",25,"question",51,3774,1,98,0.0102040816326531,10.2040816326531
"child","and",25,"question",51,3789,4,552,0.0072463768115942,7.2463768115942
"child","and",25,"question",71,5080,2,241,0.00829875518672199,8.29875518672199
