"speaker","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"child","other",26,"imperative",2836,2852,0.994389901823282,994.389901823282
"child","other",26,"other",2608,2675,0.974953271028037,974.953271028037
"child","other",26,"question",15193,15312,0.992228317659352,992.228317659352
"child","other",27,"declarative",139671,141580,0.986516457126713,986.516457126713
"child","other",27,"imperative",2797,2846,0.982782853127196,982.782853127196
"child","other",27,"other",2781,2902,0.958304617505169,958.304617505169
"child","other",27,"question",16398,16578,0.98914223669924,989.14223669924
"child","other",28,"declarative",147628,149654,0.986462105924332,986.462105924332
"child","other",28,"imperative",3409,3452,0.987543453070684,987.543453070684
"child","other",28,"other",3830,4023,0.95202585135471,952.02585135471
"child","other",28,"question",19932,20431,0.975576330086633,975.576330086633
"child","other",29,"declarative",178806,181631,0.984446487659045,984.446487659045
"child","other",29,"imperative",4283,4341,0.986639023266528,986.639023266528
"child","other",29,"other",6555,6864,0.954982517482518,954.982517482518
"child","other",29,"question",24865,25211,0.986275831978105,986.275831978105
"child","other",30,"declarative",172739,175255,0.985643776211806,985.643776211806
"child","other",30,"imperative",5270,5331,0.988557493903583,988.557493903583
"child","other",30,"other",6250,6489,0.963168438896594,963.168438896594
"child","other",30,"question",27083,27321,0.991288752241865,991.288752241865
"child","other",31,"declarative",175010,178563,0.980102260826711,980.102260826711
"child","other",31,"imperative",3826,3900,0.981025641025641,981.025641025641
"child","other",31,"other",5698,6026,0.945569200132758,945.569200132758
"child","other",31,"question",30744,31088,0.988934637159032,988.934637159032
"child","other",32,"declarative",155588,158618,0.980897502175037,980.897502175037
"child","other",32,"imperative",3341,3384,0.987293144208038,987.293144208038
"child","other",32,"other",4269,4464,0.956317204301075,956.317204301075
"child","other",32,"question",29600,29951,0.988280858735935,988.280858735935
"child","other",33,"declarative",161545,164090,0.984490218782376,984.490218782376
"child","other",33,"imperative",3283,3350,0.98,980
"child","other",33,"other",5512,5732,0.961618981158409,961.618981158409
"child","other",33,"question",31451,31775,0.989803304484658,989.803304484658
"child","other",34,"declarative",158960,161716,0.982957777832744,982.957777832744
"child","other",34,"imperative",3769,3818,0.987166055526454,987.166055526454
"child","other",34,"other",7050,7279,0.968539634565188,968.539634565187
"child","other",34,"question",32149,32496,0.989321762678483,989.321762678484
"child","other",35,"declarative",129822,132415,0.980417626401843,980.417626401843
"child","other",35,"imperative",2424,2475,0.979393939393939,979.393939393939
"child","other",35,"other",5364,5596,0.958541815582559,958.541815582559
"child","other",35,"question",25087,25307,0.991306753072272,991.306753072272
"child","other",36,"declarative",239703,244646,0.97979529606043,979.79529606043
"child","other",36,"imperative",5124,5223,0.981045376220563,981.045376220563
"child","other",36,"other",12782,13302,0.960908134115171,960.908134115171
"child","other",36,"question",58751,59376,0.989473861492859,989.473861492859
"child","other",37,"declarative",102778,104864,0.980107567897467,980.107567897467
"child","other",37,"imperative",1917,1974,0.97112462006079,971.12462006079
"child","other",37,"other",3996,4186,0.95461060678452,954.61060678452
"child","other",37,"question",19901,20094,0.990395142828705,990.395142828705
"child","other",38,"declarative",75639,77303,0.978474315356454,978.474315356454
"child","other",38,"imperative",1454,1498,0.970627503337784,970.627503337784
"child","other",38,"other",3185,3342,0.953022142429683,953.022142429683
"child","other",38,"question",16853,17023,0.990013511131998,990.013511131998
"child","other",39,"declarative",76192,77842,0.978803216772436,978.803216772436
"child","other",39,"imperative",1119,1131,0.989389920424403,989.389920424403
"child","other",39,"other",3743,3917,0.955578248659689,955.578248659689
"child","other",39,"question",15802,15929,0.992027120346538,992.027120346538
"child","other",40,"declarative",55652,57056,0.975392596747055,975.392596747055
"child","other",40,"imperative",1010,1038,0.973025048169557,973.025048169557
"child","other",40,"other",2224,2397,0.927826449728828,927.826449728828
"child","other",40,"question",13694,13867,0.987524338357251,987.524338357251
"child","other",41,"declarative",48040,49226,0.975907040994596,975.907040994596
"child","other",41,"imperative",814,835,0.974850299401198,974.850299401198
"child","other",41,"other",3709,3790,0.978627968337731,978.627968337731
"child","other",41,"question",10584,10688,0.990269461077844,990.269461077844
"child","other",42,"declarative",47965,49088,0.977122718383312,977.122718383312
